pmid,doi,title,expected_include,topic,chemical,intervention,model,evidence_type,main_endpoint,direct_intervention_test,review_notes
42425258,10.1016/j.cbi.2026.112253,"Quercetin restores oocyte maturation and embryo development in DEHP-exposed mice via mitochondrial protection and apoptosis inhibition.",Yes,"Female fertility / oocyte mitochondrial toxicity",DEHP,Quercetin,Mouse,Animal,"Oocyte maturation; embryo development; mitochondrial protection; apoptosis",Yes,"Direct DEHP-quercetin co-treatment study; strong positive benchmark for nutrient-protection extraction."
42431848,10.1002/oby.70259,"Congener-Specific Associations of Per- and Polyfluoroalkyl Substances With Obesity-Metabolic Phenotypes: A Multimodel Analysis.",Yes,"Obesity / metabolic phenotypes",PFAS,None,"NHANES adults",Human/epidemiologic,"Obesity-metabolic phenotype associations",No,"Relevant human metabolic-disruption study; no nutrient intervention."
42431555,10.1016/j.taap.2026.117937,"Structure-activity relationship of per- and Polyfluoroalkyl substances as inhibitors of human and rat 17beta-Hydroxysteroid dehydrogenase 3.",Yes,"Male reproductive steroidogenesis",PFAS,None,"Human and rat enzyme / in vitro",In vitro/mechanistic,"17beta-HSD3 inhibition; testosterone biosynthesis mechanism",No,"Mechanistic endocrine-disruption benchmark; should not be classified as a whole-animal or cohort study."
42431496,10.1016/j.cgh.2026.07.001,"Per- and polyfluoroalkyl substances (PFAS) in early life is associated with childhood intestinal inflammation: analyses of three birth cohorts.",Yes,"Gut / intestinal inflammation",PFAS,None,"Three birth cohorts",Human/epidemiologic,"Childhood intestinal inflammation",No,"Relevant human early-life exposure and gut/inflammation benchmark."
42432979,10.1097/MD.0000000000049659,"Association between the composite dietary antioxidant index and urinary phthalate concentrations: Evidence from NHANES 2011-2018.",Yes,"Dietary antioxidants / phthalate exposure",Phthalates,"Composite dietary antioxidant index","NHANES adults",Human/epidemiologic,"Urinary phthalate concentrations",Borderline,"Dietary antioxidant index is associated with exposure biomarkers; not a direct protective intervention trial."
42440020,10.1186/s11671-026-04715-2,"Protective effects of biogenic selenium nanoparticles synthesized by Chlorella Vulgaris against bisphenol a-induced metabolic disturbances in rats.",Yes,"Metabolic disruption / nutrient protection",Bisphenol A,"Biogenic selenium nanoparticles from Chlorella vulgaris",Rat,Animal,"Dyslipidemia; obesity-related metabolic disturbance",Yes,"Direct BPA-protection animal benchmark; should extract selenium intervention and metabolic endpoints."
42134526,10.1016/j.envpol.2026.128351,"Micro/nanoplastic-induced alterations in cellular fate and full-cycle spermatogenesis: A mechanistic review and perspective on intergenerational risks.",Yes,"Male fertility / spermatogenesis",Micro/nanoplastics,None,Review,Review,"Spermatogenesis; cellular fate; intergenerational risk",No,"Relevant review; should be flagged as review, not primary experimental evidence."
42467131,10.1007/s10653-026-03370-x,"Microplastics, the gut microbiome and ageing: mechanisms and intervention strategies.",Yes,"Gut microbiome / ageing",Micro/nanoplastics,"Intervention strategies reviewed",Review,Review,"Gut microbiome; ageing; age-related pathologies",Borderline,"Relevant review with intervention strategies; specific nutrients require full-text extraction."
42467129,10.1007/s11033-026-12195-x,"Identification of divergent organ-specific gene and protein expression signatures for mitochondrial function, inflammatory response, and proteostasis in the liver and brain in the rotenone-induced rat model of Parkinson's disease.",Yes,"Mitochondrial dysfunction / inflammation",Rotenone,None,"Male Wistar rat",Animal/mechanistic,"Mitochondrial function; inflammatory response; proteostasis; liver-brain signaling",No,"Relevant pesticide mechanistic animal study, but Parkinson's model context should be noted as a limitation."
42314419,10.1016/j.ecoenv.2026.120373,"Association between exposure to perfluoroalkyl ether sulfonate F-53B and cervical cancer risk and its mechanisms of cervical toxicity in Chinese women.",Yes,"Female reproductive / cervical toxicity",F-53B / 6:2 Cl-PFESA,None,"Case-control plus mechanistic assays",Human + in vitro/mechanistic,"Cervical cancer risk; cervical toxicity; malignant progression",No,"Relevant PFAS alternative study combining human association and mechanistic work."
42322674,10.1016/j.ecoenv.2026.120393,"Association between PFAS exposure and bilirubin metabolism: A metabolome-wide analysis in children.",Yes,"Metabolic / liver biomarker",PFAS,None,"Children cohort",Human/epidemiologic,"Bilirubin metabolism",No,"Relevant human metabolic biomarker study; choline should not be inferred unless directly tested."
42402713,10.1080/15376516.2026.2699441,"Systemic histopathological responses to nanoplastic exposure: a review of cellular toxicity and organ-level pathology in mammalian systems.",Yes,"Nanoplastic organ toxicity / mechanistic review",Nanoplastics,None,Review,Review,"Cellular toxicity; organ-level pathology; biological barriers",No,"Relevant review; should be tagged as review-level evidence."
42471246,10.1093/jee/toag211,"Cyfluthrin, atrazine, and prothioconazole alter gut bacterial diversity in Bombus terrestris (Hymenoptera: Apidae).",Borderline,"Gut microbiome / ecotoxicology","Cyfluthrin; atrazine; prothioconazole",None,"Bombus terrestris / 16S rRNA sequencing",Animal/ecotoxicology,"Gut bacterial diversity",No,"Useful microbiome/ecotoxicology signal, but not a human gut hormone or metabolic-disease study."
42309014,10.1016/j.ecoenv.2026.120391,"Alleviation of penthiopyrad phytotoxicity in cucumber via mesoporous nano-selenium: Insights into root exudate changes and improved photosynthesis.",Borderline,"Plant detoxification / pesticide stress",Penthiopyrad,"Mesoporous nano-selenium",Cucumber,Plant/ecotoxicology,"Phytotoxicity; root exudates; photosynthesis",Yes,"Direct selenium protection, but plant model; should not be summarized as human nutrient protection."
