well,role,concentration,signal
A1,neg,,98.7
A2,neg,,98.4
A3,neg,,99.0
A4,neg,,106.3
B1,pos,,1593.0
B2,pos,,1517.6
B3,pos,,1618.3
B4,pos,,1585.3
C1,sample,0.003,99.4
C2,sample,0.01,128.4
C3,sample,0.03,196.0
C4,sample,0.1,451.5
C5,sample,0.3,869.7
C6,sample,1.0,1317.1
C7,sample,3.0,1488.8
C8,sample,10.0,1547.6
D1,sample,0.003,113.3
D2,sample,0.01,164.2
D3,sample,0.03,190.3
D4,sample,0.1,413.5
D5,sample,0.3,866.0
D6,sample,1.0,1270.2
D7,sample,3.0,1501.6
D8,sample,10.0,1592.7
E1,sample,0.003,132.2
E2,sample,0.01,117.7
E3,sample,0.03,200.3
E4,sample,0.1,424.1
E5,sample,0.3,873.5
E6,sample,1.0,1280.4
E7,sample,3.0,1528.0
E8,sample,10.0,1532.6
