well,role,concentration,signal,signal_blanksub,normalized,outlier
A1,neg,,97.7,97.7,-0.11121993326803985,False
A2,neg,,104.6,104.6,0.3469397918361245,False
A3,neg,,98.0,98.0,-0.09129994522003286,False
A4,neg,,97.2,97.2,-0.1444199133480518,False
B1,pos,,1548.8,1548.8,96.24176225494264,False
B2,pos,,1588.3,1588.3,98.86456068126358,False
B3,pos,,1661.2,1661.2,103.70511777692933,False
B4,pos,,1623.3,1623.3,101.18855928686442,False
C1,sample,0.03,139.5,139.5,2.664298401420959,False
C2,sample,0.1,120.7,120.7,1.4159791504125099,False
C3,sample,0.3,153.3,153.3,3.5806178516292895,False
C4,sample,1.0,244.7,244.7,9.649574210255473,False
C5,sample,3.0,422.3,422.3,21.44220713467572,False
C6,sample,10.0,971.5,971.5,57.90906525456084,False
C7,sample,30.0,1333.6,1333.6,81.95249082850549,False
C8,sample,100.0,1529.7,1529.7,94.97352301588619,False
D1,sample,0.03,44.0,44.0,-3.6768977938613236,False
D2,sample,0.1,51.0,51.0,-3.2120980727411563,False
D3,sample,0.3,108.3,108.3,0.5926196444282131,False
D4,sample,1.0,221.9,221.9,8.135655118606929,False
D5,sample,3.0,491.3,491.3,26.023804385717366,False
D6,sample,10.0,940.0,940.0,55.81746650952009,False
D7,sample,30.0,1334.1,1334.1,81.9856908085855,False
D8,sample,100.0,1489.8,1489.8,92.32416460550124,False
E1,sample,0.03,114.0,114.0,0.9710994173403495,False
E2,sample,0.1,125.8,125.8,1.7546189472286313,False
E3,sample,0.3,116.3,116.3,1.1238193257084044,False
E4,sample,1.0,298.4,298.4,13.215252070848754,False
E5,sample,3.0,500.0,500.0,26.601484039109575,False
E6,sample,10.0,983.5,983.5,58.70586477648113,False
E7,sample,30.0,1294.2,1294.2,79.33633239820055,False
E8,sample,100.0,1486.4,1486.4,92.09840474095715,False
