well,role,concentration,signal,signal_blanksub,normalized,outlier
A1,neg,,96.9,96.9,-0.27192157915939286,False
A2,neg,,99.0,99.0,-0.1309252047804487,False
A3,neg,,105.7,105.7,0.3189203706190412,False
A4,neg,,102.2,102.2,0.08392641332080032,False
B1,pos,,1575.4,1575.4,98.99624009668322,False
B2,pos,,1547.4,1547.4,97.11628843829729,False
B3,pos,,1571.4,1571.4,98.72767557405666,False
B4,pos,,1667.2,1667.2,105.1597958909628,False
C1,sample,0.03,81.4,81.4,-1.3126091043373167,False
C2,sample,0.1,148.7,148.7,3.2059889888545707,False
C3,sample,0.3,254.6,254.6,10.316234725392773,False
C4,sample,1.0,502.8,502.8,26.980663354370886,False
C5,sample,3.0,1030.6,1030.6,62.4177521149456,False
C6,sample,10.0,1455.8,1455.8,90.96616087014905,False
C7,sample,30.0,1473.5,1473.5,92.15455888277158,False
C8,sample,100.0,1575.1,1575.1,98.97609775748623,False
D1,sample,0.03,105.9,105.9,0.33234859675036943,False
D2,sample,0.1,111.5,111.5,0.7083389284275545,False
D3,sample,0.3,257.0,257.0,10.477373438968712,False
D4,sample,1.0,552.7,552.7,30.33100577413724,False
D5,sample,3.0,977.7,977.7,58.86598630320934,False
D6,sample,10.0,1439.1,1439.1,89.84490398818316,False
D7,sample,30.0,1567.4,1567.4,98.4591110514301,False
D8,sample,100.0,1619.5,1619.5,101.95716395864106,False
E1,sample,0.03,160.1,160.1,3.9713978783402704,False
E2,sample,0.1,152.8,152.8,3.4812676245467977,False
E3,sample,0.3,243.8,243.8,9.59111051430106,False
E4,sample,1.0,509.4,509.4,27.42379481670471,False
E5,sample,3.0,1050.5,1050.5,63.753860615012755,False
E6,sample,10.0,1388.7,1388.7,86.46099100308848,False
E7,sample,30.0,1528.1,1528.1,95.82046461662414,False
E8,sample,100.0,1542.1,1542.1,96.7604404458171,False
