well,role,concentration,signal,signal_blanksub,normalized,outlier
A1,neg,,88.2,88.2,-0.8746260360640183,False
A2,neg,,114.5,114.5,0.8451993656917727,False
A3,neg,,105.0,105.0,0.2239696578332169,False
A4,neg,,98.6,98.6,-0.1945429874609684,False
B1,pos,,1617.9,1617.9,99.1564354493289,False
B2,pos,,1635.7,1635.7,100.32042374405336,False
B3,pos,,1606.6,1606.6,98.41749905998135,False
B4,pos,,1663.0,1663.0,102.10564174663637,False
C1,sample,0.03,78.4,78.4,-1.5154735241707387,False
C2,sample,0.1,90.2,90.2,-0.7438408344095856,False
C3,sample,0.3,149.1,149.1,3.10778335431346,False
C4,sample,1.0,137.7,137.7,2.362307704883192,False
C5,sample,3.0,164.0,164.0,4.082133106638984,False
C6,sample,10.0,382.5,382.5,18.370416387385767,False
C7,sample,30.0,674.7,674.7,37.4781343490984,True
C8,sample,100.0,1003.9,1003.9,59.00537854141803,True
D1,sample,0.03,53.3,53.3,-3.156827804933871,False
D2,sample,0.1,100.0,100.0,-0.10299334630286508,False
D3,sample,0.3,107.4,107.4,0.3809118998185366,False
D4,sample,1.0,126.3,126.3,1.6168320554529259,False
D5,sample,3.0,244.0,244.0,9.313541172816295,False
D6,sample,10.0,313.4,313.4,13.851787670225113,False
D7,sample,30.0,667.5,667.5,37.00730762314243,True
D8,sample,100.0,975.0,975.0,57.11553237751148,True
E1,sample,0.03,74.1,74.1,-1.7966617077277702,False
E2,sample,0.1,126.8,126.8,1.6495283558665341,False
E3,sample,0.3,152.1,152.1,3.303961156795109,False
E4,sample,1.0,166.8,166.8,4.265232388955191,False
E5,sample,3.0,206.9,206.9,6.887475682126568,False
E6,sample,10.0,354.3,354.3,16.526345044058267,False
E7,sample,30.0,628.7,628.7,34.47007471104644,True
E8,sample,100.0,1039.6,1039.6,61.33989439094965,True
