well,role,concentration,signal,signal_blanksub,normalized,outlier
A1,neg,,91.3,91.3,-0.24074929094386952,False
A2,neg,,95.2,95.2,0.016489677461908846,False
A3,neg,,111.6,111.6,1.0982125189631284,False
A4,neg,,81.7,81.7,-0.8739529054811689,False
B1,pos,,1519.8,1519.8,93.98126772640327,False
B2,pos,,1613.2,1613.2,100.14181122617242,False
B3,pos,,1679.4,1679.4,104.50827781808589,False
B4,pos,,1631.8,1631.8,101.36864322933845,False
C1,sample,0.03,36.5,36.5,-3.855286590594288,False
C2,sample,0.1,21.8,21.8,-4.824879625354529,False
C3,sample,0.3,141.9,141.9,3.096761427346481,False
C4,sample,1.0,168.0,168.0,4.818283754369765,False
C5,sample,3.0,310.8,310.8,14.2371875206121,False
C6,sample,10.0,734.2,734.2,42.16410527010092,False
C7,sample,30.0,1138.6,1138.6,68.83780753248466,False
C8,sample,100.0,1409.9,1409.9,86.73240551414816,True
D1,sample,0.03,111.6,111.6,1.0982125189631284,False
D2,sample,0.1,125.1,125.1,1.9886551019062062,False
D3,sample,0.3,185.2,185.2,5.952773563749092,False
D4,sample,1.0,215.4,215.4,7.944726601147682,False
D5,sample,3.0,368.2,368.2,18.02321746586637,False
D6,sample,10.0,719.2,719.2,41.174724622386385,False
D7,sample,30.0,1045.1,1045.1,62.67066816173075,False
D8,sample,100.0,1449.2,1449.2,89.32458281116021,True
E1,sample,0.03,136.4,136.4,2.7339885231844865,False
E2,sample,0.1,128.5,128.5,2.212914715388167,False
E3,sample,0.3,60.3,60.3,-2.2854692962205663,False
E4,sample,1.0,171.6,171.6,5.055735109821252,False
E5,sample,3.0,379.5,379.5,18.76855088714465,False
E6,sample,10.0,636.6,636.6,35.7265351889717,False
E7,sample,30.0,1093.6,1093.6,65.86966558934107,False
E8,sample,100.0,1440.0,1440.0,88.71776268056198,True
