well,role,concentration,signal
A1,neg,,97.7
A2,neg,,104.6
A3,neg,,98.0
A4,neg,,97.2
B1,pos,,1548.8
B2,pos,,1588.3
B3,pos,,1661.2
B4,pos,,1623.3
C1,sample,0.03,139.5
C2,sample,0.1,120.7
C3,sample,0.3,153.3
C4,sample,1,244.7
C5,sample,3,422.3
C6,sample,10,971.5
C7,sample,30,1333.6
C8,sample,100,1529.7
D1,sample,0.03,44.0
D2,sample,0.1,51.0
D3,sample,0.3,108.3
D4,sample,1,221.9
D5,sample,3,491.3
D6,sample,10,940.0
D7,sample,30,1334.1
D8,sample,100,1489.8
E1,sample,0.03,114.0
E2,sample,0.1,125.8
E3,sample,0.3,116.3
E4,sample,1,298.4
E5,sample,3,500.0
E6,sample,10,983.5
E7,sample,30,1294.2
E8,sample,100,1486.4
