well,role,concentration,signal
A1,neg,,88.2
A2,neg,,114.5
A3,neg,,105.0
A4,neg,,98.6
B1,pos,,1617.9
B2,pos,,1635.7
B3,pos,,1606.6
B4,pos,,1663.0
C1,sample,0.03,78.4
C2,sample,0.1,90.2
C3,sample,0.3,149.1
C4,sample,1,137.7
C5,sample,3,164.0
C6,sample,10,382.5
C7,sample,30,674.7
C8,sample,100,1003.9
D1,sample,0.03,53.3
D2,sample,0.1,100.0
D3,sample,0.3,107.4
D4,sample,1,126.3
D5,sample,3,244.0
D6,sample,10,313.4
D7,sample,30,667.5
D8,sample,100,975.0
E1,sample,0.03,74.1
E2,sample,0.1,126.8
E3,sample,0.3,152.1
E4,sample,1,166.8
E5,sample,3,206.9
E6,sample,10,354.3
E7,sample,30,628.7
E8,sample,100,1039.6
