well,role,concentration,signal
A1,neg,,91.3
A2,neg,,95.2
A3,neg,,111.6
A4,neg,,81.7
B1,pos,,1519.8
B2,pos,,1613.2
B3,pos,,1679.4
B4,pos,,1631.8
C1,sample,0.03,36.5
C2,sample,0.1,21.8
C3,sample,0.3,141.9
C4,sample,1,168.0
C5,sample,3,310.8
C6,sample,10,734.2
C7,sample,30,1138.6
C8,sample,100,1409.9
D1,sample,0.03,111.6
D2,sample,0.1,125.1
D3,sample,0.3,185.2
D4,sample,1,215.4
D5,sample,3,368.2
D6,sample,10,719.2
D7,sample,30,1045.1
D8,sample,100,1449.2
E1,sample,0.03,136.4
E2,sample,0.1,128.5
E3,sample,0.3,60.3
E4,sample,1,171.6
E5,sample,3,379.5
E6,sample,10,636.6
E7,sample,30,1093.6
E8,sample,100,1440.0
